image,tag,result,k,object_ratio,background_ratio,k_x_object_ratio,k_x_background_ratio,perturbed_pixel,pixel_perturbed_percentage,total_pixel
n01514859_hen,background,unsafe,1568.0,0.6382533482142857,0.3617466517857143,1000.78125,567.21875,567.21875,1.1304582868,50176.0
n01514859_hen,object,unsafe,1568.0,0.6382533482142857,0.3617466517857143,1000.78125,567.21875,1000.78125,1.9945417132,50176.0
n01518878_ostrich,whole-image,unsafe,1568.0,0.8288624043367347,0.17113759566326525,1299.65625,268.3437499999999,1568.0,3.125,50176.0
n01518878_ostrich,background,unsafe,1568.0,0.8288624043367347,0.17113759566326525,1299.65625,268.3437499999999,268.3437499999999,0.5348049864,50176.0
n01518878_ostrich,object,unsafe,1568.0,0.8288624043367347,0.17113759566326525,1299.65625,268.3437499999999,1299.65625,2.5901950136,50176.0
n01530575_brambling,whole-image,unsafe,1568.0,0.8874162946428571,0.1125837053571429,1391.46875,176.53125000000009,1568.0,3.125,50176.0
n01530575_brambling,background,unsafe,1568.0,0.8874162946428571,0.1125837053571429,1391.46875,176.53125000000009,176.53125000000009,0.3518240792,50176.0
n01530575_brambling,object,unsafe,1568.0,0.8874162946428571,0.1125837053571429,1391.46875,176.53125000000009,1391.46875,2.7731759208,50176.0
n01443537_goldfish,whole-image,safe,12544.0,0.8129982461734694,0.18700175382653061,10198.25,2345.75,12544.0,25.0,50176.0
n01443537_goldfish,background,safe,12544.0,0.8129982461734694,0.18700175382653061,10198.25,2345.75,2345.75,4.6750438457,50176.0
n01443537_goldfish,object,safe,12544.0,0.8129982461734694,0.18700175382653061,10198.25,2345.75,10198.25,20.3249561543,50176.0
n01484850_great_white_shark,whole-image,unsafe,12544.0,0.9022640306122448,0.0977359693877552,11317.999999999998,1226.0000000000011,12544.0,25.0,50176.0
n01484850_great_white_shark,background,unsafe,12544.0,0.9022640306122448,0.0977359693877552,11317.999999999998,1226.0000000000011,1226.0000000000011,2.4433992347,50176.0
n01484850_great_white_shark,object,unsafe,12544.0,0.9022640306122448,0.0977359693877552,11317.999999999998,1226.0000000000011,11317.999999999998,22.5566007653,50176.0
n01491361_tiger_shark,whole-image,safe,12544.0,0.9754663584183674,0.024533641581632626,12236.25,307.74999999999966,12544.0,25.0,50176.0
n01491361_tiger_shark,background,safe,12544.0,0.9754663584183674,0.024533641581632626,12236.25,307.74999999999966,307.74999999999966,0.6133410395,50176.0
n01491361_tiger_shark,object,safe,12544.0,0.9754663584183674,0.024533641581632626,12236.25,307.74999999999966,12236.25,24.3866589605,50176.0
n01496331_electric_ray,whole-image,safe,12544.0,0.9361447704081632,0.06385522959183676,11743.0,801.0000000000003,12544.0,25.0,50176.0
n01496331_electric_ray,background,safe,12544.0,0.9361447704081632,0.06385522959183676,11743.0,801.0000000000003,801.0000000000003,1.5963807398,50176.0
n01496331_electric_ray,object,safe,12544.0,0.9361447704081632,0.06385522959183676,11743.0,801.0000000000003,11743.0,23.4036192602,50176.0
n01514668_cock,whole-image,unsafe,12544.0,0.9447943239795918,0.055205676020408156,11851.5,692.4999999999999,12544.0,25.0,50176.0
n01514668_cock,background,unsafe,12544.0,0.9447943239795918,0.055205676020408156,11851.5,692.4999999999999,692.4999999999999,1.3801419005,50176.0
n01514668_cock,object,unsafe,12544.0,0.9447943239795918,0.055205676020408156,11851.5,692.4999999999999,11851.5,23.6198580995,50176.0
n01514859_hen,whole-image,unsafe,12544.0,0.6382533482142857,0.3617466517857143,8006.25,4537.75,12544.0,25.0,50176.0
n01514859_hen,background,unsafe,12544.0,0.6382533482142857,0.3617466517857143,8006.25,4537.75,4537.75,9.0436662946,50176.0
n01514859_hen,object,unsafe,12544.0,0.6382533482142857,0.3617466517857143,8006.25,4537.75,8006.25,15.9563337054,50176.0
n01518878_ostrich,whole-image,unsafe,12544.0,0.8288624043367347,0.17113759566326525,10397.25,2146.749999999999,12544.0,25.0,50176.0
n01518878_ostrich,background,unsafe,12544.0,0.8288624043367347,0.17113759566326525,10397.25,2146.749999999999,2146.749999999999,4.2784398916,50176.0
n01518878_ostrich,object,unsafe,12544.0,0.8288624043367347,0.17113759566326525,10397.25,2146.749999999999,10397.25,20.7215601084,50176.0
n01530575_brambling,whole-image,unsafe,12544.0,0.8874162946428571,0.1125837053571429,11131.75,1412.2500000000007,12544.0,25.0,50176.0
n01530575_brambling,background,unsafe,12544.0,0.8874162946428571,0.1125837053571429,11131.75,1412.2500000000007,1412.2500000000007,2.8145926339,50176.0
n01530575_brambling,object,unsafe,12544.0,0.8874162946428571,0.1125837053571429,11131.75,1412.2500000000007,11131.75,22.1854073661,50176.0
n01443537_goldfish,whole-image,safe,3136.0,0.8129982461734694,0.18700175382653061,2549.5625,586.4375,3136.0,6.25,50176.0
